01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Indicador,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2006,Malta,,PIB per capita,,,, euros por pessoa,,13270
2006,Países Baixos,,PIB per capita,,,, euros por pessoa,,35940
2006,Polónia,,PIB per capita,,,, euros por pessoa,,7230
2006,Portugal,,PIB per capita,,,, euros por pessoa,,15800
2006,Roménia,,PIB per capita,,,, euros por pessoa,,4590
2006,Suécia,,PIB per capita,,,, euros por pessoa,,37090
2007,,Portugal,PIB per capita,,,, euros por pessoa,,16645
2007,Alemanha,,PIB per capita,,,, euros por pessoa,,31390
2007,Áustria,,PIB per capita,,,, euros por pessoa,,34020
2007,Bélgica,,PIB per capita,,,, euros por pessoa,,32340
2007,Bulgária,,PIB per capita,,,, euros por pessoa,,4240
2007,Chéquia,,PIB per capita,,,, euros por pessoa,,13460
2007,Chipre,,PIB per capita,,,, euros por pessoa,,22930
2007,Croácia,,PIB per capita,,,, euros por pessoa,,10300
2007,Dinamarca,,PIB per capita,,,, euros por pessoa,,42850
2007,Eslováquia,,PIB per capita,,,, euros por pessoa,,10440
2007,Eslovénia,,PIB per capita,,,, euros por pessoa,,17310
2007,Espanha,,PIB per capita,,,, euros por pessoa,,23820
2007,Estónia,,PIB per capita,,,, euros por pessoa,,12210
2007,Finlândia,,PIB per capita,,,, euros por pessoa,,35370
2007,França,,PIB per capita,,,, euros por pessoa,,30390
2007,Grécia,,PIB per capita,,,, euros por pessoa,,20750
2007,Hungria,,PIB per capita,,,, euros por pessoa,,10180
2007,Irlanda,,PIB per capita,,,, euros por pessoa,,44790
2007,Itália,,PIB per capita,,,, euros por pessoa,,27600
2007,Letónia,,PIB per capita,,,, euros por pessoa,,9810
2007,Lituânia,,PIB per capita,,,, euros por pessoa,,8990
2007,Luxemburgo,,PIB per capita,,,, euros por pessoa,,78310
2007,Malta,,PIB per capita,,,, euros por pessoa,,14200
2007,Países Baixos,,PIB per capita,,,, euros por pessoa,,38020
2007,Polónia,,PIB per capita,,,, euros por pessoa,,8250
2007,Portugal,,PIB per capita,,,, euros por pessoa,,16640
2007,Roménia,,PIB per capita,,,, euros por pessoa,,6110
2007,Suécia,,PIB per capita,,,, euros por pessoa,,39150
2008,,Portugal,PIB per capita,,,, euros por pessoa,,16963
2008,Alemanha,,PIB per capita,,,, euros por pessoa,,32060
2008,Áustria,,PIB per capita,,,, euros por pessoa,,35070
2008,Bélgica,,PIB per capita,,,, euros por pessoa,,32840
2008,Bulgária,,PIB per capita,,,, euros por pessoa,,4890
2008,Chéquia,,PIB per capita,,,, euros por pessoa,,15520
2008,Chipre,,PIB per capita,,,, euros por pessoa,,24170
2008,Croácia,,PIB per capita,,,, euros por pessoa,,11260
2008,Dinamarca,,PIB per capita,,,, euros por pessoa,,44190
2008,Eslováquia,,PIB per capita,,,, euros por pessoa,,12220
2008,Eslovénia,,PIB per capita,,,, euros por pessoa,Quebra de série,18670
2008,Espanha,,PIB per capita,,,, euros por pessoa,,24190
2008,Estónia,,PIB per capita,,,, euros por pessoa,,12420
2008,Finlândia,,PIB per capita,,,, euros por pessoa,,36560
2008,França,,PIB per capita,,,, euros por pessoa,,31040
2008,Grécia,,PIB per capita,,,, euros por pessoa,,21550
2008,Hungria,,PIB per capita,,,, euros por pessoa,,10790
2008,Irlanda,,PIB per capita,,,, euros por pessoa,,41660
2008,Itália,,PIB per capita,,,, euros por pessoa,,27760
2008,Letónia,,PIB per capita,,,, euros por pessoa,,10720
2008,Lituânia,,PIB per capita,,,, euros por pessoa,,10220
2008,Luxemburgo,,PIB per capita,,,, euros por pessoa,,81780
2008,Malta,,PIB per capita,,,, euros por pessoa,,15230
2008,Países Baixos,,PIB per capita,,,, euros por pessoa,,39600
2008,Polónia,,PIB per capita,,,, euros por pessoa,,9640
2008,Portugal,,PIB per capita,,,, euros por pessoa,,16960
2008,Roménia,,PIB per capita,,,, euros por pessoa,,7140
2008,Suécia,,PIB per capita,,,, euros por pessoa,,38270
2009,,Portugal,PIB per capita,,,, euros por pessoa,,16598
2009,Alemanha,,PIB per capita,,,, euros por pessoa,,30990
2009,Áustria,,PIB per capita,,,, euros por pessoa,,34320
2009,Bélgica,,PIB per capita,,,, euros por pessoa,Quebra de série,32210
